t,acc
9.69 , -1.4
9.700000000000001 , -1.1
9.71 , -0.7
9.72 , -0.35
9.73 , -0.021
9.74 , 0.32
9.75 , 0.58
9.76 , 0.7
9.77 , 0.67
9.78 , 0.47
9.790000000000001 , 0.18
9.8 , -0.079
9.81 , -0.22
9.82 , -0.17
9.83 , -0.0044
9.84 , 0.23
9.85 , 0.36
9.86 , 0.38
9.870000000000001 , 0.29
9.88 , 0.22
9.89 , 0.28
9.9 , 0.48
9.91 , 0.76
9.92 , 0.99
9.93 , 1.0
9.94 , 0.85
9.950000000000001 , 0.48
9.96 , 0.0008
9.97 , -0.46
9.98 , -0.84
9.99 , -1.1
10.0 , -1.1
10.01 , -1.0
10.02 , -0.85
10.03 , -0.7
10.040000000000001 , -0.65
10.05 , -0.72
10.06 , -0.87
10.07 , -0.99
10.08 , -0.97
10.09 , -0.77
10.1 , -0.45
10.11 , -0.1
10.120000000000001 , 0.19
10.13 , 0.43
10.14 , 0.58
10.15 , 0.67
10.16 , 0.67
10.17 , 0.56
10.18 , 0.34
10.19 , 0.063
10.200000000000001 , -0.22
10.21 , -0.48
10.22 , -0.64
10.23 , -0.75
10.24 , -0.77
10.25 , -0.76
10.26 , -0.7
10.27 , -0.55
10.28 , -0.32
10.290000000000001 , 0.0067
10.3 , 0.39
10.31 , 0.73
10.32 , 0.94
10.33 , 0.98
10.34 , 0.87
10.35 , 0.7
10.36 , 0.55
10.370000000000001 , 0.49
10.38 , 0.52
10.39 , 0.57
10.4 , 0.57
10.41 , 0.44
10.42 , 0.18
10.43 , -0.18
10.44 , -0.55
10.450000000000001 , -0.88
10.46 , -1.1
10.47 , -1.2
10.48 , -1.3
10.49 , -1.3
10.5 , -1.3
10.51 , -1.2
10.52 , -1.2
10.53 , -1.1
10.540000000000001 , -1.0
10.55 , -1.1
10.56 , -1.1
10.57 , -1.1
10.58 , -1.0
10.59 , -0.85
10.6 , -0.64
10.61 , -0.38
10.620000000000001 , -0.12
10.63 , 0.14
10.64 , 0.39
10.65 , 0.59
10.66 , 0.76
10.67 , 0.89
10.68 , 0.98
10.69 , 1.0
10.700000000000001 , 1.1
10.71 , 1.1
